[2025-11-18 21:51:22] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 21:51:37] Normal log : args : clear, Result: Screen cleared.
[2025-11-18 21:51:37] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 21:51:40] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 21:51:54] Normal log : args : clear, Result: Screen cleared.
[2025-11-18 21:51:54] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 21:52:04] Normal log : args : clear, Result: Screen cleared.
[2025-11-18 21:52:04] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 21:52:12] Normal log : args : help, Result: Outputed command list.
[2025-11-18 21:52:36] Normal log : args : clear, Result: Screen cleared.
[2025-11-18 21:52:36] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 21:52:37] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 21:52:45] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 21:52:53] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 21:53:51] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 21:53:56] Normal log : args : __main__, Result: Exit succesfully.
[2025-11-18 22:11:11] Normal log : args : mainloop, Result: PYcmd is running...
[2025-11-18 22:11:16] Normal log : args : mainpack, Result: PYcmd exit.
[2025-11-18 22:11:18] Normal log : args : __main__, Result: Exit succesfully.
